t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
6.299999999999865707e-01,-1.234500496637225275e+00,-4.745143201548699952e-01,-2.477905690643945058e-01,-3.993895949062064576e-01,8.315695815906172170e-03,-3.438846247526274741e-02,-6.013556366308077106e-01,-1.064192564113213696e-01
6.399999999999863576e-01,-1.236926318120797896e+00,-4.783754528574944986e-01,-2.477054763420570849e-01,-3.997333931773788263e-01,8.702812459917575252e-03,-3.437082017322681815e-02,-6.022960764790972199e-01,-1.064256641846816620e-01
6.499999999999861444e-01,-1.239351853552900895e+00,-4.822411811374934243e-01,-2.476165135667512118e-01,-4.000770044342509268e-01,9.089694284674676786e-03,-3.435102927075442403e-02,-6.032362286036710985e-01,-1.064322745131708325e-01
6.599999999999859313e-01,-1.241777051298990964e+00,-4.861114767591067642e-01,-2.475236834216751891e-01,-4.004204063466400010e-01,9.476274494677755164e-03,-3.432892079270614266e-02,-6.041759971013599406e-01,-1.064390906643590956e-01
6.699999999999857181e-01,-1.244201859473517580e+00,-4.899863107782281291e-01,-2.474269892521250291e-01,-4.007635748909123552e-01,9.862487482227018376e-03,-3.430432504372697006e-02,-6.051152850959164997e-01,-1.064461147850077061e-01
6.799999999999855049e-01,-1.246626225966205315e+00,-4.938656535687407922e-01,-2.473264350531584610e-01,-4.011064843433395644e-01,1.024826891963341938e-02,-3.427707172143361347e-02,-6.060539946506156017e-01,-1.064533479114093684e-01
6.899999999999852918e-01,-1.249050098468013958e+00,-4.977494748482713671e-01,-2.472220254563187170e-01,-4.014491072746226297e-01,1.063355585478125385e-02,-3.424699003597158481e-02,-6.069920266817715460e-01,-1.064607899810558200e-01
6.999999999999850786e-01,-1.251473424496721831e+00,-5.016377437033319175e-01,-2.471137657153917866e-01,-4.017914145456393249e-01,1.101828680944519530e-02,-3.421390883563695667e-02,-6.079292808736156406e-01,-1.064684398456136744e-01
7.099999999999848654e-01,-1.253896151422106087e+00,-5.055304286138464498e-01,-2.470016616911626661e-01,-4.021333753044744053e-01,1.140240188003624824e-02,-3.417765673756351097e-02,-6.088656555949799598e-01,-1.064762952851850547e-01
7.199999999999846523e-01,-1.256318226490731105e+00,-5.094274974770249820e-01,-2.468857198351632753e-01,-4.024749569847816399e-01,1.178584283944374318e-02,-3.413806226346133982e-02,-6.098010478182267491e-01,-1.064843530238431257e-01
7.299999999999844391e-01,-1.258739596850285025e+00,-5.133289176305876333e-01,-2.467659471723908371e-01,-4.028161253055309587e-01,1.216855324011968838e-02,-3.409495398008784151e-02,-6.107353530408213826e-01,-1.064926087464477117e-01
7.399999999999842260e-01,-1.261160209573465751e+00,-5.172346558753126988e-01,-2.466423512829983011e-01,-4.031568442721703560e-01,1.255047851708651629e-02,-3.404816064297996187e-02,-6.116684652100002895e-01,-1.065010571167643305e-01
7.499999999999840128e-01,-1.263580011681375348e+00,-5.211446784968953860e-01,-2.465149402829508452e-01,-4.034970761792657790e-01,1.293156609161816469e-02,-3.399751134830494848e-02,-6.126002766509379693e-01,-1.065096917969025891e-01
7.599999999999837996e-01,-1.265998950166427717e+00,-5.250589512871219888e-01,-2.463837228036473148e-01,-4.038367816146938849e-01,1.331176547398414678e-02,-3.394283569067855361e-02,-6.135306779988269898e-01,-1.065185054680671539e-01
