t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
8.599999999999816680e-01,-1.441488348242725204e+00,-2.380517218049948092e+00,-5.978729445329784564e-01,-5.838069100630406405e-01,1.004317642920004167e-01,2.848290422003403322e-01,-7.408128810297975875e-01,-1.086869739407737706e-01
8.699999999999814548e-01,-1.447413580903460284e+00,-2.386262844641663161e+00,-5.968622711973554651e-01,-5.809574592756764355e-01,1.017017206087188208e-01,2.850586979583897840e-01,-7.428190488605158626e-01,-1.085847268592942255e-01
8.799999999999812417e-01,-1.453328754275906576e+00,-2.391981405787749981e+00,-5.958389312986168695e-01,-5.781057790829150500e-01,1.029650588270346473e-01,2.852749228052227637e-01,-7.448245706581786418e-01,-1.084865082152972615e-01
8.899999999999810285e-01,-1.459233733681384537e+00,-2.397672808358667140e+00,-5.948029915214768648e-01,-5.752520038053681173e-01,1.042216780622027689e-01,2.854777146333860594e-01,-7.468293113010719964e-01,-1.083923318135058961e-01
8.999999999999808153e-01,-1.465128385145337386e+00,-2.403336960871047978e+00,-5.937545195631163120e-01,-5.723962677792281406e-01,1.054714767313978396e-01,2.856670724507012205e-01,-7.488331350029862055e-01,-1.083022092643893680e-01
9.099999999999806022e-01,-1.471012575414946566e+00,-2.408973773546168928e+00,-5.926935841394556093e-01,-5.695387053446659964e-01,1.067143526952116922e-01,2.858429964697480896e-01,-7.508359053726676446e-01,-1.082161499844010999e-01
9.199999999999803890e-01,-1.476886171976617756e+00,-2.414583158366561566e+00,-5.916202549900192453e-01,-5.666794508333304892e-01,1.079502033960431373e-01,2.860054881984593900e-01,-7.528374854764984248e-01,-1.081341611978698658e-01
9.299999999999801759e-01,-1.482749043073344319e+00,-2.420165029130786571e+00,-5.905346028814576487e-01,-5.638186385549509572e-01,1.091789259899087344e-01,2.861545505287996227e-01,-7.548377379042926494e-01,-1.080562479404989229e-01
9.399999999999799627e-01,-1.488601057721891774e+00,-2.425719301506301662e+00,-5.894366996097655242e-01,-5.609564027830501454e-01,1.104004174749238093e-01,2.862901878261100985e-01,-7.568365248380755084e-01,-1.079824130644237989e-01
9.499999999999797495e-01,-1.494442085729809078e+00,-2.431245893080470122e+00,-5.883266180012326485e-01,-5.580928777397704543e-01,1.116145748154248885e-01,2.864124060167614338e-01,-7.588337081236625759e-01,-1.079126572448034505e-01
9.599999999999795364e-01,-1.500271997712274930e+00,-2.436744723409634439e+00,-5.872044319121868527e-01,-5.552281975798342151e-01,1.128212950604032677e-01,2.865212126731961906e-01,-7.608291493448348097e-01,-1.078469789879330926e-01
9.699999999999793232e-01,-1.506090665108726689e+00,-2.442215714066302557e+00,-5.860702162275743810e-01,-5.523624963736826210e-01,1.140204754576354396e-01,2.866166170936155777e-01,-7.628227098998499045e-01,-1.077853746408762720e-01
9.799999999999791100e-01,-1.511897960199284130e+00,-2.447658788684414777e+00,-5.849240468584221420e-01,-5.494959080898150772e-01,1.152120135617637625e-01,2.866986303815542425e-01,-7.648142510800136629e-01,-1.077278384026072039e-01
9.899999999999788969e-01,-1.517693756120935156e+00,-2.453073873002643346e+00,-5.837660007382485805e-01,-5.466285665763648272e-01,1.163958073385182174e-01,2.867672655211260802e-01,-7.668036341500136244e-01,-1.076743623366576558e-01
9.999999999999786837e-01,-1.523477926883509692e+00,-2.458460894905820204e+00,-5.825961558184516997e-01,-5.437606055418988671e-01,1.175717552632213336e-01,2.868225374548226680e-01,-7.687907204297071972e-01,-1.076249363852648244e-01
1.009999999999978471e+00,-1.529250347385372910e+00,-2.463819784464387208e+00,-5.814145910627469549e-01,-5.408921585354671269e-01,1.187397564132138955e-01,2.868644631563720959e-01,-7.707753713770790771e-01,-1.075795483850121720e-01
1.019999999999978257e+00,-1.535010893428873757e+00,-2.469150473971900794e+00,-5.802213864407073096e-01,-5.380233589259442173e-01,1.198997105552021408e-01,2.868930616987396820e-01,-7.727574486720604208e-01,-1.075381840839232522e-01
1.029999999999978044e+00,-1.540759441735529256e+00,-2.474452897980646604e+00,-5.790166229204443127e-01,-5.351543398807062646e-01,1.210515182290236025e-01,2.869083543210193543e-01,-7.747368143009418784e-01,-1.075008271599568743e-01
1.039999999999977831e+00,-1.546495869960919922e+00,-2.479726993335280572e+00,-5.778003824604883709e-01,-5.322852343436523803e-01,1.221950808251412168e-01,2.869103644901338512e-01,-7.767133306411188043e-01,-1.074674592408588203e-01
1.049999999999977618e+00,-1.552220056709288976e+00,-2.484972699204551549e+00,-5.765727480009029682e-01,-5.294161750126178401e-01,1.233303006586668887e-01,2.868991179630354105e-01,-7.786868605459503767e-01,-1.074380599253469959e-01
1.059999999999977405e+00,-1.557931881547879760e+00,-2.490189957111078378e+00,-5.753338034536888967e-01,-5.265472943161684238e-01,1.244570810405828537e-01,2.868746428469349241e-01,-7.806572674295945147e-01,-1.074126068056115157e-01
1.069999999999977192e+00,-1.563631225020937432e+00,-2.495378710959237800e+00,-5.740836336924788341e-01,-5.236787243898263222e-01,1.255753263446043044e-01,2.868369696533702440e-01,-7.826244153516831448e-01,-1.073910754910992749e-01
1.079999999999976978e+00,-1.569317968663418883e+00,-2.500538907061131688e+00,-5.728223245415855480e-01,-5.208105970517437067e-01,1.266849420723777930e-01,2.867861313542442447e-01,-7.845881691017466686e-01,-1.073734396335452868e-01
1.089999999999976765e+00,-1.574991995014367818e+00,-2.505670494160635364e+00,-5.715499627644199387e-01,-5.179430437778451690e-01,1.277858349135160554e-01,2.867221634327012381e-01,-7.865483942833055853e-01,-1.073596709532208815e-01
1.099999999999976552e+00,-1.580653187629961209e+00,-2.510773423455559428e+00,-5.702666360513171107e-01,-5.150761956764523530e-01,1.288779128034963639e-01,2.866451039344188323e-01,-7.885049573975485560e-01,-1.073497392663745748e-01
1.109999999999976339e+00,-1.586301431096254433e+00,-2.515847648617958843e+00,-5.689724330068051117e-01,-5.122101834624380734e-01,1.299610849778117805e-01,2.865549935113789193e-01,-7.904577259264785605e-01,-1.073436125138489822e-01
1.119999999999976126e+00,-1.591936611041571137e+00,-2.520893125812520896e+00,-5.676674431363381013e-01,-5.093451374309534430e-01,1.310352620247897670e-01,2.864518754623626706e-01,-7.924065684153687172e-01,-1.073412567908466619e-01
1.129999999999975913e+00,-1.597558614148549605e+00,-2.525909813713163032e+00,-5.663517568325271423e-01,-5.064811874307920680e-01,1.321003559338037592e-01,2.863357957660631059e-01,-7.943513545543675614e-01,-1.073426363778266363e-01
1.139999999999975699e+00,-1.603167328165849614e+00,-2.530897673517779278e+00,-5.650254653608799416e-01,-5.036184628374328343e-01,1.331562801441506794e-01,2.862068031113110811e-01,-7.962919552591046779e-01,-1.073477137725307312e-01
1.149999999999975486e+00,-1.608762641919510905e+00,-2.535856668961188554e+00,-5.636886608450789593e-01,-5.007570925258073569e-01,1.342029495893767299e-01,2.860649489232206522e-01,-7.982282427502069844e-01,-1.073564497231733056e-01
1.159999999999975273e+00,-1.614344445323962596e+00,-2.540786766326258661e+00,-5.623414362518327492e-01,-4.978972048428321751e-01,1.352402807379945171e-01,2.859102873834094560e-01,-8.001600906316391759e-01,-1.073688032628422467e-01
1.169999999999975060e+00,-1.619912629392679326e+00,-2.545687934453261914e+00,-5.609838853753266186e-01,-4.950389275797377753e-01,1.362681916330074072e-01,2.857428754500933588e-01,-8.020873739677786274e-01,-1.073847317451513406e-01
1.179999999999974847e+00,-1.625467086248479687e+00,-2.550560144747508584e+00,-5.596161028212954802e-01,-4.921823879442353000e-01,1.372866019271031524e-01,2.855627728715619540e-01,-8.040099693591774566e-01,-1.074041908811753099e-01
1.189999999999974634e+00,-1.631007709133472705e+00,-2.555403371185258621e+00,-5.582381839907720744e-01,-4.893277125325543597e-01,1.382954329139071126e-01,2.853700421972670820e-01,-8.059277550169099413e-01,-1.074271347776876717e-01
1.199999999999974420e+00,-1.636534392418637074e+00,-2.560217590317885428e+00,-5.568502250635223305e-01,-4.864750273013964676e-01,1.392946075575415277e-01,2.851647487841230122e-01,-8.078406108354161397e-01,-1.074535159767231463e-01
